ID,Country of Origin,Altitude,Region,Number of Bags,Bag Weight,Harvest Year,Grading Date,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Moisture Percentage,Balance,Overall,Total Cup Points (TO BE RECALCULATED),Category One Defects,Category Two Defects
0,Colombia,1700-1930,"Piendamo,Cauca",1,35 kg,2021 / 2022,"September 21st, 2022",Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,11.8,8.42,8.58,89.33,0,3
1,Taiwan,1200,Chiayi,1,80 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8.5,8.5,7.92,8,7.92,10.5,8.25,8.5,87.58,0,0
2,Laos,1300,Laos Borofen Plateau,19,25 kg,2021 / 2022,"November 15th, 2022",Semi Washed,8.33,8.42,8.08,8.17,7.92,10.4,8.17,8.33,87.42,0,2
3,Costa Rica,1900,"Los Santos,Tarrazu",1,22 kg,2022,"September 21st, 2022",Washed / Wet,8.08,8.17,8.17,8.25,8.17,11.8,8.08,8.25,87.17,0,0
4,Colombia,1850-2100,"Popayan,Cauca",2,24 kg,2022,"March 6th, 2023","Honey,Mossto",8.33,8.33,8.08,8.25,7.92,11.6,7.92,8.25,87.08,0,2
5,Guatemala,1668,Chimaltenango,5,30 kg,2022,"November 15th, 2022",Washed / Wet,8.33,8.33,8.25,7.83,7.83,10.7,8.17,8.25,87,0,2
6,Taiwan,1250,Chiayi,1,27 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8.33,8.17,8.08,8,7.83,9.1,8.25,8.25,86.92,0,0
7,Taiwan,1200,Chiayi,1,90 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,8.25,8.25,8.17,8,7.92,10,8.08,8.08,86.75,0,1
8,Taiwan,1250,Chiayi,1,30 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8.08,8.08,8.25,8.08,7.92,10.8,8,8.25,86.67,0,0
9,"Tanzania, United Republic Of",1400-1700,KILIMANJARO,320,60 kg,2022 / 2023,"February 1st, 2023",Washed / Wet,8.08,8.17,8.08,8.17,8,11,8,8,86.5,0,0
10,Ethiopia,1800-2200,Guji,10,30 kg,2021 / 2022,"May 31st, 2022",Natural / Dry,8.08,8.25,8,8.08,7.92,11.8,7.92,8,86.25,0,1
11,Guatemala,2000,Acatenango,5,15 kg,2021,"November 15th, 2022",Natural / Dry,8.08,8,8,7.75,8.25,11.5,8.17,8,86.25,0,1
12,Taiwan,1250,Yunlin,1,60 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8.08,8,8.08,8.08,8,11.9,8,8,86.25,0,0
13,Ethiopia,1900-2000,Guji,40,60 kg,2021 / 2022,"August 26th, 2022",Natural / Dry,7.67,8.17,8,8.33,8,11.6,8,8,86.17,0,2
14,Colombia,1850,tolima,70,35 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8.08,8,8.08,7.92,8.08,10.6,8,8,86.17,0,0
15,Taiwan,1100,Chiayi,1,60 kg,2021 / 2022,"November 15th, 2022",Pulped natural / honey,8.17,8.08,8,7.92,8,10.2,7.92,8,86.08,0,0
16,Ethiopia,1900-2100,"Gedeb,Yirgacheffe,Sidamo",8,5 kg,2022,"April 7th, 2023",Washed / Wet,8.17,8.08,7.92,8.17,7.75,11.3,7.92,8.08,86.08,0,2
17,Taiwan,1300,"Shibi, Gukeng Township, Yunlin County 郵遞區號 , Taiwan (R.O.C.)",5,2 kg,2022,"October 24th, 2022",Natural / Dry,8,8.17,8,7.92,7.92,10.3,7.92,8.17,86.08,0,0
18,Taiwan,1200,"Gukeng Township, Yunlin County",8,1 kg,2021 / 2022,"October 24th, 2022",Natural / Dry,8.08,8.17,7.75,7.92,7.83,11,8,8.17,85.92,0,1
19,"Tanzania, United Republic Of",1570-1600,Arusha,200,30 kg,2022 / 2023,"February 1st, 2023",Washed / Wet,8.17,8,7.92,7.92,8.17,10,7.75,7.92,85.83,0,0
20,Guatemala,1900,"Guatemala, Fraijanes, Santa Rosa",8,30 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,8,7.92,8.08,7.92,7.75,11.6,8,8.08,85.75,0,0
21,Taiwan,850,卓溪鄉Zhuoxi Township,1,20 kg,2022,"December 12th, 2022",Natural / Dry,8.08,8,7.92,7.92,8,10.4,7.83,7.92,85.67,0,0
22,Thailand,1500-1700,Chiang Mai,2,1 kg,2021 / 2022,"August 16th, 2022",Pulped natural / honey,7.67,8,7.83,8,8.08,9.8,8,8.08,85.67,0,5
23,Colombia,1350,Quindio,6,5 kg,2022,"April 7th, 2023",,8.08,8,7.83,8.17,7.75,11.3,7.83,8,85.67,0,2
24,Taiwan,1250,Yunlin,4,50 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,7.83,8,7.92,8,8,10.6,7.92,7.92,85.58,0,0
25,Brazil,1250,Região Vulcânica,25,60 kg,2022,"January 6th, 2023",Pulped natural / honey,7.83,8.08,7.83,7.92,8,11.3,7.83,8,85.5,2,3
26,Taiwan,1300,Chiayi,1,100 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,7.92,7.92,8,7.92,7.83,9.1,7.92,8,85.5,0,2
27,Taiwan,1200,Yunlin,1,90 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,8.17,8.08,7.92,8,7.58,10.6,7.83,7.92,85.5,0,0
28,Taiwan,1060,Chiayi,1,85 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,8,8,8,7.92,7.75,10.2,7.92,7.92,85.5,0,0
29,United States (Hawaii),600,Kona,80,15 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8,7.92,8,7.83,7.67,9.3,8,8,85.42,0,0
30,Taiwan,150-250,壽豐鄉Shoufeng Township,3,48 kg,2022,"December 12th, 2022",Washed / Wet,8,8,7.83,7.83,7.75,11.4,7.92,8.08,85.42,0,0
31,Taiwan,150-250,壽豐鄉Shoufeng Township,3,50 kg,2022,"December 12th, 2022",Washed / Wet,7.92,8,7.83,7.92,7.83,10.8,7.83,8,85.33,0,0
32,Taiwan,668,"Dongshan Dist., Tainan City",4,5 kg,2022,"June 8th, 2022",Washed / Wet,8.08,8.17,7.67,7.83,7.67,11.3,7.92,8,85.33,0,0
33,Ethiopia,1950,Oromia,320,60 kg,2021 / 2022,"June 6th, 2022",Washed / Wet,7.67,7.83,7.83,8,8,9.9,8,8,85.33,0,3
34,Ethiopia,2150 - 2350,Southern Ethiopia Guji,320,60 kg,2021 / 2022,"September 30th, 2022",Natural / Dry,8,8.08,8,8,7.67,12.3,7.75,7.83,85.33,0,4
35,Ethiopia,1700,OROMIA,320,19200 kg,2021 / 2022,"December 12th, 2022",Washed / Wet,7.92,7.75,7.83,8.17,8,9.4,7.75,7.83,85.25,0,1
36,Taiwan,1200,Chiayi,1,100 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8,7.92,7.83,7.92,7.83,9.5,7.83,7.92,85.25,0,0
37,Taiwan,650,"Dongshan Dist., Tainan City",20,5 kg,2022,"June 8th, 2022",Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,11.3,7.75,7.92,85.25,0,0
38,Kenya,1600-1900,Central,300,60 kg,2022 / 2023,"February 28th, 2023",Washed / Wet,8.17,7.75,7.83,7.58,7.92,9.2,8,8,85.25,0,1
39,Taiwan,850,"Caoling , Gukeng Township, Yunlin County",20,1 kg,2017 / 2018,"October 24th, 2022",Washed / Wet,7.75,7.92,7.75,8,7.83,10.3,7.92,8,85.17,0,0
40,Taiwan,300-500,秀林鄉Show Linxia Township,1,10 kg,2022,"December 12th, 2022",Natural / Dry,8,7.92,7.83,7.92,7.75,10,7.75,7.92,85.08,0,0
41,Taiwan,1000,台灣屏東,1,2 kg,2021 / 2022,"December 30th, 2022",Washed / Wet,8,8.08,7.67,7.75,7.92,10.5,7.83,7.83,85.08,0,0
42,Taiwan,800,苗栗縣,1,50 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,8,7.92,7.67,8,7.75,10,7.83,7.92,85.08,0,5
43,Uganda,1905,Rwenzori,320,60 kg,2021 / 2022,"June 29th, 2022",Washed / Wet,8,7.92,7.75,7.75,7.75,11,7.92,7.92,85,0,1
44,Taiwan,150,壽豐鄉Shoufeng Township,1,50 kg,2021 / 2022,"December 12th, 2022",,7.92,8,7.92,8,7.58,10.9,7.75,7.83,85,0,0
45,Taiwan,800,Yunlin,6,50 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,8.17,8.08,7.83,7.67,7.67,10.1,7.75,7.83,85,0,0
46,Guatemala,1600,Antigua,600,30 kg,2022 / 2023,"April 17th, 2023",Washed / Wet,7.67,8.08,7.67,8,7.92,9.9,7.83,7.83,85,0,1
47,Guatemala,4700,Santa Rosa,632,30 kg,2022 / 2023,"February 23rd, 2023",Washed / Wet,7.67,8,7.75,7.92,8,11.3,7.83,7.83,85,0,4
48,Guatemala,1600,quiche,275,69 kg,2021 / 2022,"June 22nd, 2022",Washed / Wet,7.83,7.92,7.75,8,7.75,11.7,7.75,7.92,84.92,0,1
49,Taiwan,350-400,新竹縣,1,13 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.92,7.92,7.83,7.83,7.75,9.5,7.83,7.83,84.92,0,2
50,Taiwan,230,新竹縣,1,4 kg,2021 / 2022,"January 6th, 2023",Natural / Dry,8,8,7.75,7.75,7.67,9.7,7.75,7.92,84.83,0,0
51,Indonesia,1200,Aceh Tengah,320,60 kg,2022,"September 23rd, 2022",,7.83,7.92,7.75,7.83,7.83,11.9,7.83,7.83,84.83,0,2
52,Peru,1750,Villa Rica,3,5 kg,2022,"November 15th, 2022",Washed / Wet,8,8,7.83,7.83,7.58,10.7,7.83,7.75,84.83,0,0
53,"Tanzania, United Republic Of",1654,Mbeya,620,30 kg,2022 / 2023,"November 9th, 2022",Washed / Wet,7.92,7.75,7.75,7.92,7.83,11.2,7.83,7.83,84.83,0,0
54,Taiwan,1300,Chiayi,1,25 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,7.83,7.83,7.67,7.67,7.83,9.5,8,8,84.83,0,0
55,Taiwan,1400,Nantou,1,30 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,7.67,7.92,7.92,7.83,7.75,10.4,7.83,7.83,84.75,0,0
56,Brazil,1100,Campo das Vertentes,5,36 kg,2022,"February 13th, 2023",Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,11.2,7.83,7.83,84.75,0,5
57,Panama,1200,Boquete,200,30 kg,2022 / 2023,"April 26th, 2023",Washed / Wet,7.83,7.83,7.75,7.92,7.83,10.3,7.75,7.83,84.75,0,5
58,Taiwan,1200,台灣屏東,1,2 kg,2021 / 2022,"December 30th, 2022",Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,10,7.75,7.75,84.75,0,0
59,Guatemala,1600,Huehuetenango,600,30 kg,2022 / 2023,"April 28th, 2023",Washed / Wet,7.67,8,7.67,7.83,7.92,10.6,7.67,7.92,84.67,0,1
60,Guatemala,4895,ANTIGUA GUATEMALA,66,30 kg,2021 / 2022,"May 19th, 2022",Natural / Dry,7.83,8,7.67,7.83,7.75,10.9,7.75,7.83,84.67,0,2
61,Costa Rica,1850,Tarrazu,260,69 kg,2022 / 2023,"April 19th, 2023",Washed / Wet,7.58,7.83,7.5,7.67,7.83,10,7.67,8.58,84.67,0,2
62,Taiwan,200-300,新竹縣,1,16 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,9.6,7.75,7.92,84.58,0,0
63,Taiwan,700,"( Dongshan Dist., Tainan City)",16,5 kg,2022,"June 8th, 2022",Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,11.5,7.67,7.75,84.58,0,0
64,Nicaragua,1350,ESTELI,74,45 kg,2021 / 2022,"June 9th, 2022",Natural / Dry,7.92,7.75,7.67,7.67,7.83,9.9,7.75,8,84.58,1,2
65,Taiwan,1250,Chiayi,1,80 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8.08,7.83,7.67,7.67,7.67,11.2,7.75,7.92,84.58,0,2
66,Taiwan,1450,Chiayi,1,104 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,7.83,8,7.67,7.75,7.67,10.3,7.75,7.92,84.58,0,0
67,Vietnam,650,Quang Tri,3,5 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,8,7.83,7.75,7.67,7.58,11.6,7.83,7.92,84.58,0,0
68,Costa Rica,1900,"Los Santos,Tarrazu",1,22 kg,2022,"October 4th, 2022",Washed / Wet,7.75,7.83,7.67,7.83,7.75,11.7,7.75,7.92,84.5,0,0
69,Taiwan,520,苗栗縣,1,300 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,11.3,7.75,7.75,84.5,0,0
70,Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",340,69 kg,2022 / 2023,"April 25th, 2023",Washed / Wet,7.83,7.92,7.75,7.75,7.75,9.8,7.75,7.75,84.5,0,3
71,Ethiopia,1943,Ethiopia,584,30 kg,2021 / 2022,"August 23rd, 2022",Washed / Wet,7.92,7.83,7.75,7.92,7.58,10.9,7.67,7.83,84.5,0,9
72,Taiwan,400,玉里鎮Yuli Township,1,20 kg,2021 / 2022,"December 12th, 2022",Natural / Dry,8.08,7.92,7.75,7.83,7.5,10.2,7.58,7.83,84.5,0,0
73,Taiwan,850,Yunlin,1,100 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,7.83,8,7.5,7.75,7.75,10.1,7.75,7.83,84.42,0,1
74,Guatemala,1300-1400,Huehuetenango,600,30 kg,2022 / 2023,"April 26th, 2023",Washed / Wet,7.67,7.83,7.75,7.75,7.83,9.2,7.75,7.75,84.33,0,5
75,United States (Hawaii),1300,Ka'u district of Big Island,10,10 kg,2022,"November 9th, 2022",Washed / Wet,7.92,7.83,7.75,7.92,7.5,10.1,7.67,7.75,84.33,3,7
76,Ethiopia,2361,Addis Ababa,320,60 kg,2021 / 2022,"September 19th, 2022",Natural / Dry,7.83,7.75,7.58,7.92,8,11,7.5,7.75,84.33,0,4
77,El Salvador,1500,Chalatenango,20,30 kg,2021,"November 15th, 2022",Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,10.3,7.67,7.67,84.33,0,4
78,Colombia,2100,Sierra Nevada de Santa Marta,275,70 kg,2021 / 2022,"May 11th, 2022",Washed / Wet,7.75,7.75,7.75,7.75,7.83,11.6,7.67,7.83,84.33,0,1
79,Indonesia,1250-1350,"Lintong Nihuta/Dolok Sanggul,Sumatera Utara",1,60 kg,2022,"September 21st, 2022",Wet Hulling,7.67,7.67,7.83,7.83,7.67,11.5,7.75,7.83,84.25,0,1
80,Guatemala,1600,Atitlán,55,30 kg,2022 / 2023,"April 17th, 2023",Washed / Wet,7.58,7.92,7.67,7.75,7.83,10,7.75,7.75,84.25,0,1
81,Madagascar,1500,Itasy,5,60 kg,2022,"December 12th, 2022",Washed / Wet,7.92,7.92,7.58,7.75,7.58,12.1,7.67,7.83,84.25,0,0
82,Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",345,30 kg,2022 / 2023,"April 25th, 2023",Washed / Wet,7.75,7.75,7.58,7.83,7.75,10.2,7.75,7.75,84.17,0,2
83,Guatemala,1600,quiche,275,69 kg,2021 / 2022,"May 19th, 2022",Washed / Wet,7.58,7.92,7.58,7.83,7.75,11,7.67,7.75,84.08,0,2
84,Taiwan,150,新北市,1,110 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,10.8,7.67,7.67,84.08,0,2
85,Taiwan,800,Yunlin,1,80 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,7.92,7.75,7.67,7.75,7.75,10.6,8,7.92,84.08,0,0
86,Guatemala,1500-1600,Oriente Santa rosa,430,30 kg,2022 / 2023,"March 22nd, 2023",Washed / Wet,7.67,7.83,7.67,7.83,7.75,11,7.67,7.67,84.08,0,2
87,Guatemala,1500-1600,Sierra de las minas,200,30 kg,2022 / 2023,"March 22nd, 2023",Washed / Wet,7.67,7.92,7.67,7.75,7.67,11,7.58,7.75,84,0,2
88,Honduras,1800,"San Andrés, Lempira",16,30 kg,2021 / 2022,"November 15th, 2022",Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,9.4,7.67,7.67,84,0,0
89,"Tanzania, United Republic Of",1600-1750,ARUSHA,200,60 kg,2022 / 2023,"January 3rd, 2023",Washed / Wet,7.58,7.67,7.75,7.75,7.75,9.8,7.75,7.75,84,0,3
90,Ethiopia,1800,Sidama,300,60 kg,2021 / 2022,"November 18th, 2022",Washed / Wet,8,7.75,7.5,7.67,7.67,11.3,7.67,7.75,84,1,1
91,"Tanzania, United Republic Of",1400-1700,KILIMANJARO,320,60 kg,2022 / 2023,"November 21st, 2022",Washed / Wet,7.75,7.58,7.58,7.92,7.67,11.6,7.75,7.75,84,0,2
92,Colombia,1400-1700,Huila,275,70 kg,2022,"July 27th, 2022",Washed / Wet,7.67,7.83,7.58,7.92,7.67,13.3,7.67,7.67,84,0,3
93,Costa Rica,1850,Tarrazu,250,35 kg,2022 / 2023,"April 19th, 2023",Washed / Wet,7.67,7.92,7.58,7.75,7.67,9.5,7.58,7.75,83.92,0,2
94,Guatemala,1900,New Oriente,1,15 kg,2021,"November 15th, 2022",Natural / Dry,7.83,7.83,7.58,7.67,7.67,11.9,7.58,7.75,83.92,0,0
95,Guatemala,1600,Atitlán,35,30 kg,2022 / 2023,"April 17th, 2023",Washed / Wet,7.58,7.83,7.58,7.75,7.67,10,7.75,7.75,83.92,0,2
96,Thailand,1300-1400,Nan,1,30 kg,2022,"September 21st, 2022",Natural / Dry,7.75,7.67,7.58,7.75,7.75,11.6,7.67,7.75,83.92,0,3
97,Colombia,1411,Pereira,375,70 kg,2022 / 2023,"April 17th, 2023",Washed / Wet,7.67,7.75,7.67,7.75,7.67,11.9,7.67,7.67,83.83,0,1
98,Guatemala,1400,HUEHUETENANGO,600,30 kg,2021 / 2022,"May 13th, 2022",Natural / Dry,7.58,7.83,7.67,7.67,7.67,10.8,7.67,7.75,83.83,0,4
99,Guatemala,4895 A 5650,ANTIGUA GUATEMALA,635,30 kg,2021 / 2022,"May 19th, 2022",Washed / Wet,7.58,7.92,7.5,7.67,7.75,10.9,7.67,7.75,83.83,0,4
100,Ethiopia,2000,Sidama,100,60 kg,2021 / 2022,"September 9th, 2022",Washed / Wet,7.83,7.67,7.5,7.92,7.5,12,7.67,7.75,83.83,0,12
101,Colombia,1700,Cauca,285,70 kg,2022 / 2023,"February 22nd, 2023",Washed / Wet,7.92,7.75,7.42,7.58,7.92,12.1,7.67,7.58,83.83,2,5
102,United States (Hawaii),400-600,Ka'u,4,15 kg,2022,"November 15th, 2022",Washed / Wet,7.67,7.92,7.58,7.58,7.58,11.8,7.75,7.75,83.83,0,3
